smiles,dE0
[C:1]([C:2](=[O:3])[C:4]([O:5][H:11])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1](/[C:2]([O:3][H:11])=[C:4](/[O:5][H:10])[H:9])([H:6])([H:7])[H:8],67.00735999999999
[C:1]([C:2]#[C:3][C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)([H:7])([H:8])[H:9]>>[C:1]([C:2]#[C:3][C:4](=[O+:6][C-:5]([H:11])[H:12])[H:10])([H:7])([H:8])[H:9],48.52575
[C:1]([C@@:2]1([H:10])[N:3]([H:11])[C@:4]1([C:5](=[O:6])[H:13])[H:12])([H:7])([H:8])[H:9]>>[C:1](/[C:2](=[N:3]\[C:4]([C:5](=[O:6])[H:13])([H:11])[H:12])[H:10])([H:7])([H:8])[H:9],65.76503000000001
[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]3([H:10])[C:4]([H:11])([H:12])[N:5]2[C@:6]13[H:13]>>[C:1]1([H:7])([H:8])[C:2]([H:9])([H:10])[N+:5]23[C-:3]([C:4]2([H:11])[H:12])[C@@:6]13[H:13],67.12029
[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[C@@:4]2([O:5][H:14])[C:6]([H:15])([H:16])[C@@:7]12[H:17])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[C:4](=[O:5])[C:6]([H:15])([H:16])[C:7]1([H:14])[H:17])([H:8])([H:9])[H:10],58.17841
[O:1]=[C:2]1[C@@:3]2([H:8])[N:4]([H:9])[C@:5]1([H:10])[C:6]([H:11])=[C:7]2[H:12]>>[O:1]([C@@:2]12[C@@:3]3([H:8])[N:4]1[C@:5]2([H:10])[C:6]([H:11])=[C:7]3[H:12])[H:9],56.26744
[C:1]1([H:8])([H:9])[O:2][C@@:3]2([H:10])[C@@:4]3([H:11])[O:5][C@:6]1([H:12])[C@@:7]23[H:13]>>[C:1]1([H:8])([H:9])[O:2][C:3]([H:10])([H:13])[C:7]2=[C:4]([H:11])[O:5][C@@:6]12[H:12],61.52754
[C:1](#[C:2][C@@:3]1([H:9])[N:4]([H:10])[C@:5]1([C:6]#[N:7])[H:11])[H:8]>>[C:1](#[C:2][C+:3]([N:4]([C:5](=[C:6]=[N-:7])[H:11])[H:10])[H:9])[H:8],35.11871
[C:1]([c:2]1[c:3]([H:10])[c:4]([H:11])[n:5][n:6]1[H:12])([H:7])([H:8])[H:9]>>[C:1]([C@@:2]1([H:12])[C:3]([H:10])=[C:4]([H:11])[N:5]=[N:6]1)([H:7])([H:8])[H:9],50.35174
[C:1]([N:2]1[C@@:3]2([H:11])[C@@:4]3([H:12])[C:5]([H:13])([H:14])[C@:6]1([H:15])[C@@:7]23[H:16])([H:8])([H:9])[H:10]>>[C:1](/[N:2]=[C:3](/[C@@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]([H:15])=[C:7]1[H:16])[H:11])([H:8])([H:9])[H:10],38.07829
[C:1]([c:2]1[c:3]([C:4]([H:11])([H:12])[H:13])[c:5]([H:14])[c:6]([H:15])[n:7]1[H:16])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]1([H:16])[C:3]([C:4]([H:11])([H:12])[H:13])=[C:5]([H:14])[C:6]([H:15])=[N:7]1)([H:8])([H:9])[H:10],44.25168
[O:1]([C:2]([C:3]([C:4]#[C:5][H:11])([H:9])[H:10])([H:7])[H:8])[H:6]>>[C:3](=[C:4]=[C:5]([H:6])[H:11])([H:9])[H:10].[O:1]=[C:2]([H:7])[H:8],42.55247
[O:1]([c:2]1[n:3][o:4][c:5]([H:8])[c:6]1[H:9])[H:7]>>[O:1]([C:2]1=[N:3][C@:6]1([C:5](=[O:4])[H:8])[H:9])[H:7],52.8349
[C:1]1([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]12[C:4]([H:12])([H:13])[C@@:5]1([H:14])[O:6][C@@:7]21[H:15]>>[C:1]1([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]12[C:4]([H:12])([H:13])[C-:5]([H:14])[O+:6]=[C:7]2[H:15],45.58404
[O:1]=[C:2]([C:3]([N:4]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])([H:8])[H:9])[H:7]>>[O:1](/[C:2](=[C:3](/[N:4]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])[H:8])[H:7])[H:9],65.80324
[c:1]1([H:7])[c:2]([H:8])[n:3][n:4][n:5][c:6]1[H:9]>>[C:1](#[C:6][H:9])[H:7].[C:2](#[N:3])[H:8].[N:4]#[N:5],50.014140000000005
[C:1]([C:2]1=[C:3]([H:11])[C:4]([H:12])([H:13])[C@@:5]2([H:14])[O:6][C@@:7]12[H:15])([H:8])([H:9])[H:10]>>[C:1]([C:2]1=[C:7]([H:15])[O:6][C:5]([H:13])([H:14])[C:4]([H:12])=[C:3]1[H:11])([H:8])([H:9])[H:10],60.43733
[C:1]([C@@:2]([O:3][H:11])([C:4]([C:5]([O:6][H:16])([H:14])[H:15])([H:12])[H:13])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C@@:2]([O:3][H:11])([C:4](=[C:5]([H:14])[H:15])[H:13])[H:10])([H:7])([H:8])[H:9].[O:6]([H:12])[H:16],67.81191
[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[C@:4]2([C:5]([H:14])([H:15])[O:6]2)[C:7]1([H:16])[H:17])([H:8])([H:9])[H:10]>>[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[C@@:4]([C:5][H:15])([O:6][H:14])[C:7]1([H:16])[H:17])([H:8])([H:9])[H:10],67.97261
[C:1]([C:2]1([C:3]([H:11])([H:12])[H:13])[C:4]([H:14])([H:15])[N:5]([H:16])[C:6]1=[O:7])([H:8])([H:9])[H:10]>>[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])=[C:6]=[O:7])([H:8])([H:9])[H:10].[C:4](=[N:5][H:16])([H:14])[H:15],56.78274
[O:1]=[C:2]([C:3]#[C:4][H:6])[H:5]>>[O:1]=[C:2]([C:4](=[C:3])[H:6])[H:5],51.20238
